dataType: iteration-based
legend: [i_0, i_1, i_2, i_3, i_4, i_5, i_6, i_7, i_8, i_9]
xlabel: iterations
ylabel: Value of I
data:
    - [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
    - [-4, -3, -2, -1, 0, 1, 2, 3, 4, 5]
    - [-8, -6, -4, -2, 0, 2, 4, 6, 8, 10]
    - [-12, -9, -6, -3, 0, 3, 6, 9, 12, 15]
    - [-16, -12, -8, -4, 0, 4, 8, 12, 16, 20]
    - [-20, -15, -10, -5, 0, 5, 10, 15, 20, 25]
    - [-24, -18, -12, -6, 0, 6, 12, 18, 24, 30]
    - [-28, -21, -14, -7, 0, 7, 14, 21, 28, 35]
    - [-32, -24, -16, -8, 0, 8, 16, 24, 32, 40]
    - [-36, -27, -18, -9, 0, 9, 18, 27, 36, 45]
    - [-40, -30, -20, -10, 0, 10, 20, 30, 40, 50]
    - [-44, -33, -22, -11, 0, 11, 22, 33, 44, 55]
    - [-48, -36, -24, -12, 0, 12, 24, 36, 48, 60]
    - [-52, -39, -26, -13, 0, 13, 26, 39, 52, 65]
    - [-56, -42, -28, -14, 0, 14, 28, 42, 56, 70]
    - [-60, -45, -30, -15, 0, 15, 30, 45, 60, 75]
    - [-64, -48, -32, -16, 0, 16, 32, 48, 64, 80]
    - [-68, -51, -34, -17, 0, 17, 34, 51, 68, 85]
    - [-72, -54, -36, -18, 0, 18, 36, 54, 72, 90]
    - [-76, -57, -38, -19, 0, 19, 38, 57, 76, 95]
    - [-80, -60, -40, -20, 0, 20, 40, 60, 80, 100]
    - [-84, -63, -42, -21, 0, 21, 42, 63, 84, 105]
    - [-88, -66, -44, -22, 0, 22, 44, 66, 88, 110]
    - [-92, -69, -46, -23, 0, 23, 46, 69, 92, 115]
    - [-96, -72, -48, -24, 0, 24, 48, 72, 96, 120]
    - [-100, -75, -50, -25, 0, 25, 50, 75, 100, 125]
    - [-104, -78, -52, -26, 0, 26, 52, 78, 104, 130]
    - [-108, -81, -54, -27, 0, 27, 54, 81, 108, 135]
    - [-112, -84, -56, -28, 0, 28, 56, 84, 112, 140]
    - [-116, -87, -58, -29, 0, 29, 58, 87, 116, 145]
