dataType: iteration-based
legend: [x,y,z,\theta_x,\theta_y,\theta_z]
xlabel: iterations
ylabel: Camera pose
data:
    - [-0.999983, 0.00499996, -1, 0, 0, -0.01]
    - [-1.99997, 0.00999992, -2, 0, 0, -0.02]
    - [-2.99995, 0.0149999, -3, 0, 0, -0.03]
    - [-3.99993, 0.0199998, -4, 0, 0, -0.04]
    - [-4.99992, 0.0249998, -5, 0, 0, -0.05]
    - [-5.9999, 0.0299998, -6, 0, 0, -0.06]
    - [-6.99988, 0.0349997, -7, 0, 0, -0.07]
    - [-7.99987, 0.0399997, -8, 0, 0, -0.08]
    - [-8.99985, 0.0449996, -9, 0, 0, -0.09]
    - [-9.99983, 0.0499996, -10, 0, 0, -0.1]
    - [-10.9998, 0.0549995, -11, 0, 0, -0.11]
    - [-11.9998, 0.0599995, -12, 0, 0, -0.12]
    - [-12.9998, 0.0649995, -13, 0, 0, -0.13]
    - [-13.9998, 0.0699994, -14, 0, 0, -0.14]
    - [-14.9998, 0.0749994, -15, 0, 0, -0.15]
    - [-15.9997, 0.0799993, -16, 0, 0, -0.16]
    - [-16.9997, 0.0849993, -17, 0, 0, -0.17]
    - [-17.9997, 0.0899993, -18, 0, 0, -0.18]
    - [-18.9997, 0.0949992, -19, 0, 0, -0.19]
    - [-19.9997, 0.0999992, -20, 0, 0, -0.2]
    - [-20.9997, 0.104999, -21, 0, 0, -0.21]
    - [-21.9996, 0.109999, -22, 0, 0, -0.22]
    - [-22.9996, 0.114999, -23, 0, 0, -0.23]
    - [-23.9996, 0.119999, -24, 0, 0, -0.24]
    - [-24.9996, 0.124999, -25, 0, 0, -0.25]
    - [-25.9996, 0.129999, -26, 0, 0, -0.26]
    - [-26.9996, 0.134999, -27, 0, 0, -0.27]
    - [-27.9995, 0.139999, -28, 0, 0, -0.28]
    - [-28.9995, 0.144999, -29, 0, 0, -0.29]
    - [-29.9995, 0.149999, -30, 0, 0, -0.3]
    - [-30.9995, 0.154999, -31, 0, 0, -0.31]
    - [-31.9995, 0.159999, -32, 0, 0, -0.32]
    - [-32.9995, 0.164999, -33, 0, 0, -0.33]
    - [-33.9994, 0.169999, -34, 0, 0, -0.34]
    - [-34.9994, 0.174999, -35, 0, 0, -0.35]
    - [-35.9994, 0.179999, -36, 0, 0, -0.36]
    - [-36.9994, 0.184998, -37, 0, 0, -0.37]
    - [-37.9994, 0.189998, -38, 0, 0, -0.38]
    - [-38.9994, 0.194998, -39, 0, 0, -0.39]
    - [-39.9993, 0.199998, -40, 0, 0, -0.4]
