dataType: iteration-based
legend: [v_x,v_y,v_z,\omega_x,\omega_y,\omega_z]
xlabel: time [s]
ylabel: Value of V
data:
    - [0.99875, 0.497571, -0.461073, -0.995808, -0.615002, 0.331234]
    - [0.995004, 0.453596, -0.504846, -0.999135, -0.574824, 0.377978]
    - [0.988771, 0.408487, -0.547358, -0.999965, -0.533209, 0.423777]
    - [0.980067, 0.362358, -0.588501, -0.998295, -0.490261, 0.468517]
    - [0.968912, 0.315322, -0.628174, -0.99413, -0.446087, 0.512085]
    - [0.955336, 0.267499, -0.666276, -0.98748, -0.400799, 0.554374]
    - [0.939373, 0.219007, -0.702713, -0.978362, -0.354509, 0.595278]
    - [0.921061, 0.169967, -0.737394, -0.966798, -0.307333, 0.634693]
    - [0.900447, 0.120503, -0.770231, -0.952818, -0.259389, 0.672522]
    - [0.877583, 0.0707372, -0.801144, -0.936457, -0.210796, 0.70867]
    - [0.852525, 0.0207948, -0.830054, -0.917755, -0.161676, 0.743046]
    - [0.825336, -0.0291995, -0.856889, -0.896758, -0.112153, 0.775566]
    - [0.796084, -0.0791209, -0.881582, -0.873521, -0.0623485, 0.806147]
    - [0.764842, -0.128844, -0.904072, -0.8481, -0.0123887, 0.834713]
    - [0.731689, -0.178246, -0.924302, -0.820559, 0.0376022, 0.861192]
    - [0.696707, -0.227202, -0.942222, -0.790968, 0.087499, 0.88552]
    - [0.659983, -0.27559, -0.957787, -0.759399, 0.137177, 0.907633]
    - [0.62161, -0.32329, -0.970958, -0.725932, 0.186512, 0.927478]
    - [0.581683, -0.370181, -0.981702, -0.690651, 0.235381, 0.945005]
    - [0.540302, -0.416147, -0.989992, -0.653644, 0.283662, 0.96017]
    - [0.497571, -0.461073, -0.995808, -0.615002, 0.331234, 0.972935]
    - [0.453596, -0.504846, -0.999135, -0.574824, 0.377978, 0.983268]
    - [0.408487, -0.547358, -0.999965, -0.533209, 0.423777, 0.991144]
    - [0.362358, -0.588501, -0.998295, -0.490261, 0.468517, 0.996542]
    - [0.315322, -0.628174, -0.99413, -0.446087, 0.512085, 0.999449]
    - [0.267499, -0.666276, -0.98748, -0.400799, 0.554374, 0.999859]
    - [0.219007, -0.702713, -0.978362, -0.354509, 0.595278, 0.997769]
    - [0.169967, -0.737394, -0.966798, -0.307333, 0.634693, 0.993185]
    - [0.120503, -0.770231, -0.952818, -0.259389, 0.672522, 0.986119]
    - [0.0707372, -0.801144, -0.936457, -0.210796, 0.70867, 0.976588]
