dataType: iteration-based
legend: [v_x,v_y,v_z,\omega_x,\omega_y,\omega_z]
xlabel: iterations
ylabel: Camera velocity
data:
    - [1, 0, 1, 0, 0, 0.01]
    - [0.99995, 0.00999983, 1, 0, 0, 0.01]
    - [0.9998, 0.0199987, 1, 0, 0, 0.01]
    - [0.99955, 0.0299955, 1, 0, 0, 0.01]
    - [0.9992, 0.0399893, 1, 0, 0, 0.01]
    - [0.99875, 0.0499792, 1, 0, 0, 0.01]
    - [0.998201, 0.059964, 1, 0, 0, 0.01]
    - [0.997551, 0.0699428, 1, 0, 0, 0.01]
    - [0.996802, 0.0799147, 1, 0, 0, 0.01]
    - [0.995953, 0.0898785, 1, 0, 0, 0.01]
    - [0.995004, 0.0998334, 1, 0, 0, 0.01]
    - [0.993956, 0.109778, 1, 0, 0, 0.01]
    - [0.992809, 0.119712, 1, 0, 0, 0.01]
    - [0.991562, 0.129634, 1, 0, 0, 0.01]
    - [0.990216, 0.139543, 1, 0, 0, 0.01]
    - [0.988771, 0.149438, 1, 0, 0, 0.01]
    - [0.987227, 0.159318, 1, 0, 0, 0.01]
    - [0.985585, 0.169182, 1, 0, 0, 0.01]
    - [0.983844, 0.17903, 1, 0, 0, 0.01]
    - [0.982004, 0.188859, 1, 0, 0, 0.01]
    - [0.980067, 0.198669, 1, 0, 0, 0.01]
    - [0.978031, 0.20846, 1, 0, 0, 0.01]
    - [0.975897, 0.21823, 1, 0, 0, 0.01]
    - [0.973666, 0.227978, 1, 0, 0, 0.01]
    - [0.971338, 0.237703, 1, 0, 0, 0.01]
    - [0.968912, 0.247404, 1, 0, 0, 0.01]
    - [0.96639, 0.257081, 1, 0, 0, 0.01]
    - [0.963771, 0.266731, 1, 0, 0, 0.01]
    - [0.961055, 0.276356, 1, 0, 0, 0.01]
    - [0.958244, 0.285952, 1, 0, 0, 0.01]
    - [0.955336, 0.29552, 1, 0, 0, 0.01]
    - [0.952334, 0.305059, 1, 0, 0, 0.01]
    - [0.949235, 0.314567, 1, 0, 0, 0.01]
    - [0.946042, 0.324043, 1, 0, 0, 0.01]
    - [0.942755, 0.333487, 1, 0, 0, 0.01]
    - [0.939373, 0.342898, 1, 0, 0, 0.01]
    - [0.935897, 0.352274, 1, 0, 0, 0.01]
    - [0.932327, 0.361615, 1, 0, 0, 0.01]
    - [0.928665, 0.37092, 1, 0, 0, 0.01]
    - [0.924909, 0.380188, 1, 0, 0, 0.01]
    - [0.921061, 0.389418, 1, 0, 0, 0.01]
    - [0.917121, 0.398609, 1, 0, 0, 0.01]
    - [0.913089, 0.40776, 1, 0, 0, 0.01]
    - [0.908966, 0.416871, 1, 0, 0, 0.01]
    - [0.904752, 0.425939, 1, 0, 0, 0.01]
    - [0.900447, 0.434966, 1, 0, 0, 0.01]
    - [0.896052, 0.443948, 1, 0, 0, 0.01]
    - [0.891568, 0.452886, 1, 0, 0, 0.01]
    - [0.886995, 0.461779, 1, 0, 0, 0.01]
    - [0.882333, 0.470626, 1, 0, 0, 0.01]
    - [0.877583, 0.479426, 1, 0, 0, 0.01]
    - [0.872745, 0.488177, 1, 0, 0, 0.01]
    - [0.867819, 0.49688, 1, 0, 0, 0.01]
    - [0.862807, 0.505533, 1, 0, 0, 0.01]
    - [0.857709, 0.514136, 1, 0, 0, 0.01]
    - [0.852525, 0.522687, 1, 0, 0, 0.01]
    - [0.847255, 0.531186, 1, 0, 0, 0.01]
    - [0.841901, 0.539632, 1, 0, 0, 0.01]
    - [0.836463, 0.548024, 1, 0, 0, 0.01]
    - [0.830941, 0.556361, 1, 0, 0, 0.01]
    - [0.825336, 0.564642, 1, 0, 0, 0.01]
    - [0.819648, 0.572867, 1, 0, 0, 0.01]
    - [0.813878, 0.581035, 1, 0, 0, 0.01]
    - [0.808028, 0.589145, 1, 0, 0, 0.01]
    - [0.802096, 0.597195, 1, 0, 0, 0.01]
    - [0.796084, 0.605186, 1, 0, 0, 0.01]
    - [0.789992, 0.613117, 1, 0, 0, 0.01]
    - [0.783822, 0.620986, 1, 0, 0, 0.01]
    - [0.777573, 0.628793, 1, 0, 0, 0.01]
    - [0.771246, 0.636537, 1, 0, 0, 0.01]
    - [0.764842, 0.644218, 1, 0, 0, 0.01]
    - [0.758362, 0.651834, 1, 0, 0, 0.01]
    - [0.751806, 0.659385, 1, 0, 0, 0.01]
    - [0.745174, 0.66687, 1, 0, 0, 0.01]
    - [0.738469, 0.674288, 1, 0, 0, 0.01]
    - [0.731689, 0.681639, 1, 0, 0, 0.01]
    - [0.724836, 0.688921, 1, 0, 0, 0.01]
    - [0.717911, 0.696135, 1, 0, 0, 0.01]
    - [0.710914, 0.703279, 1, 0, 0, 0.01]
    - [0.703845, 0.710353, 1, 0, 0, 0.01]
    - [0.696707, 0.717356, 1, 0, 0, 0.01]
    - [0.689498, 0.724287, 1, 0, 0, 0.01]
    - [0.682221, 0.731146, 1, 0, 0, 0.01]
    - [0.674876, 0.737931, 1, 0, 0, 0.01]
    - [0.667463, 0.744643, 1, 0, 0, 0.01]
    - [0.659983, 0.75128, 1, 0, 0, 0.01]
    - [0.652437, 0.757843, 1, 0, 0, 0.01]
    - [0.644827, 0.764329, 1, 0, 0, 0.01]
    - [0.637151, 0.770739, 1, 0, 0, 0.01]
    - [0.629412, 0.777072, 1, 0, 0, 0.01]
    - [0.62161, 0.783327, 1, 0, 0, 0.01]
    - [0.613746, 0.789504, 1, 0, 0, 0.01]
    - [0.60582, 0.795602, 1, 0, 0, 0.01]
    - [0.597834, 0.80162, 1, 0, 0, 0.01]
    - [0.589788, 0.807558, 1, 0, 0, 0.01]
    - [0.581683, 0.813416, 1, 0, 0, 0.01]
    - [0.57352, 0.819192, 1, 0, 0, 0.01]
    - [0.5653, 0.824886, 1, 0, 0, 0.01]
    - [0.557023, 0.830497, 1, 0, 0, 0.01]
    - [0.54869, 0.836026, 1, 0, 0, 0.01]
    - [0.540302, 0.841471, 1, 0, 0, 0.01]
    - [0.531861, 0.846832, 1, 0, 0, 0.01]
    - [0.523366, 0.852108, 1, 0, 0, 0.01]
    - [0.514819, 0.857299, 1, 0, 0, 0.01]
    - [0.50622, 0.862404, 1, 0, 0, 0.01]
    - [0.497571, 0.867423, 1, 0, 0, 0.01]
    - [0.488872, 0.872355, 1, 0, 0, 0.01]
    - [0.480124, 0.877201, 1, 0, 0, 0.01]
    - [0.471328, 0.881958, 1, 0, 0, 0.01]
    - [0.462485, 0.886627, 1, 0, 0, 0.01]
    - [0.453596, 0.891207, 1, 0, 0, 0.01]
    - [0.444662, 0.895699, 1, 0, 0, 0.01]
    - [0.435682, 0.9001, 1, 0, 0, 0.01]
    - [0.42666, 0.904412, 1, 0, 0, 0.01]
    - [0.417595, 0.908633, 1, 0, 0, 0.01]
    - [0.408487, 0.912764, 1, 0, 0, 0.01]
    - [0.39934, 0.916803, 1, 0, 0, 0.01]
    - [0.390152, 0.920751, 1, 0, 0, 0.01]
    - [0.380925, 0.924606, 1, 0, 0, 0.01]
    - [0.37166, 0.928369, 1, 0, 0, 0.01]
    - [0.362358, 0.932039, 1, 0, 0, 0.01]
    - [0.353019, 0.935616, 1, 0, 0, 0.01]
    - [0.343646, 0.939099, 1, 0, 0, 0.01]
    - [0.334238, 0.942489, 1, 0, 0, 0.01]
    - [0.324796, 0.945784, 1, 0, 0, 0.01]
    - [0.315322, 0.948985, 1, 0, 0, 0.01]
    - [0.305817, 0.95209, 1, 0, 0, 0.01]
    - [0.296281, 0.955101, 1, 0, 0, 0.01]
    - [0.286715, 0.958016, 1, 0, 0, 0.01]
    - [0.277121, 0.960835, 1, 0, 0, 0.01]
    - [0.267499, 0.963558, 1, 0, 0, 0.01]
    - [0.25785, 0.966185, 1, 0, 0, 0.01]
    - [0.248175, 0.968715, 1, 0, 0, 0.01]
    - [0.238476, 0.971148, 1, 0, 0, 0.01]
    - [0.228753, 0.973485, 1, 0, 0, 0.01]
    - [0.219007, 0.975723, 1, 0, 0, 0.01]
    - [0.209239, 0.977865, 1, 0, 0, 0.01]
    - [0.19945, 0.979908, 1, 0, 0, 0.01]
    - [0.189641, 0.981854, 1, 0, 0, 0.01]
    - [0.179813, 0.983701, 1, 0, 0, 0.01]
    - [0.169967, 0.98545, 1, 0, 0, 0.01]
    - [0.160104, 0.9871, 1, 0, 0, 0.01]
    - [0.150225, 0.988652, 1, 0, 0, 0.01]
    - [0.140332, 0.990105, 1, 0, 0, 0.01]
    - [0.130424, 0.991458, 1, 0, 0, 0.01]
    - [0.120503, 0.992713, 1, 0, 0, 0.01]
    - [0.11057, 0.993868, 1, 0, 0, 0.01]
    - [0.100626, 0.994924, 1, 0, 0, 0.01]
    - [0.0906716, 0.995881, 1, 0, 0, 0.01]
    - [0.0807084, 0.996738, 1, 0, 0, 0.01]
    - [0.0707372, 0.997495, 1, 0, 0, 0.01]
    - [0.0607589, 0.998152, 1, 0, 0, 0.01]
    - [0.0507745, 0.99871, 1, 0, 0, 0.01]
    - [0.040785, 0.999168, 1, 0, 0, 0.01]
    - [0.0307915, 0.999526, 1, 0, 0, 0.01]
    - [0.0207948, 0.999784, 1, 0, 0, 0.01]
    - [0.0107961, 0.999942, 1, 0, 0, 0.01]
    - [0.000796327, 1, 1, 0, 0, 0.01]
    - [-0.00920354, 0.999958, 1, 0, 0, 0.01]
    - [-0.0192025, 0.999816, 1, 0, 0, 0.01]
    - [-0.0291995, 0.999574, 1, 0, 0, 0.01]
    - [-0.0391936, 0.999232, 1, 0, 0, 0.01]
    - [-0.0491838, 0.99879, 1, 0, 0, 0.01]
    - [-0.0591691, 0.998248, 1, 0, 0, 0.01]
    - [-0.0691484, 0.997606, 1, 0, 0, 0.01]
    - [-0.0791209, 0.996865, 1, 0, 0, 0.01]
    - [-0.0890854, 0.996024, 1, 0, 0, 0.01]
    - [-0.099041, 0.995083, 1, 0, 0, 0.01]
    - [-0.108987, 0.994043, 1, 0, 0, 0.01]
    - [-0.118922, 0.992904, 1, 0, 0, 0.01]
    - [-0.128844, 0.991665, 1, 0, 0, 0.01]
    - [-0.138755, 0.990327, 1, 0, 0, 0.01]
    - [-0.148651, 0.98889, 1, 0, 0, 0.01]
    - [-0.158532, 0.987354, 1, 0, 0, 0.01]
    - [-0.168397, 0.985719, 1, 0, 0, 0.01]
    - [-0.178246, 0.983986, 1, 0, 0, 0.01]
    - [-0.188077, 0.982154, 1, 0, 0, 0.01]
    - [-0.197889, 0.980224, 1, 0, 0, 0.01]
    - [-0.207681, 0.978197, 1, 0, 0, 0.01]
    - [-0.217452, 0.976071, 1, 0, 0, 0.01]
    - [-0.227202, 0.973848, 1, 0, 0, 0.01]
    - [-0.236929, 0.971527, 1, 0, 0, 0.01]
    - [-0.246632, 0.969109, 1, 0, 0, 0.01]
    - [-0.256311, 0.966594, 1, 0, 0, 0.01]
    - [-0.265964, 0.963983, 1, 0, 0, 0.01]
    - [-0.27559, 0.961275, 1, 0, 0, 0.01]
    - [-0.285189, 0.958471, 1, 0, 0, 0.01]
    - [-0.294759, 0.955572, 1, 0, 0, 0.01]
    - [-0.3043, 0.952576, 1, 0, 0, 0.01]
    - [-0.313811, 0.949486, 1, 0, 0, 0.01]
    - [-0.32329, 0.9463, 1, 0, 0, 0.01]
    - [-0.332736, 0.94302, 1, 0, 0, 0.01]
    - [-0.34215, 0.939645, 1, 0, 0, 0.01]
    - [-0.351529, 0.936177, 1, 0, 0, 0.01]
    - [-0.360873, 0.932615, 1, 0, 0, 0.01]
    - [-0.370181, 0.92896, 1, 0, 0, 0.01]
    - [-0.379452, 0.925212, 1, 0, 0, 0.01]
    - [-0.388685, 0.921371, 1, 0, 0, 0.01]
    - [-0.397879, 0.917438, 1, 0, 0, 0.01]
    - [-0.407033, 0.913413, 1, 0, 0, 0.01]
    - [-0.416147, 0.909297, 1, 0, 0, 0.01]
    - [-0.425219, 0.905091, 1, 0, 0, 0.01]
    - [-0.434248, 0.900793, 1, 0, 0, 0.01]
    - [-0.443234, 0.896406, 1, 0, 0, 0.01]
    - [-0.452176, 0.891929, 1, 0, 0, 0.01]
    - [-0.461073, 0.887362, 1, 0, 0, 0.01]
    - [-0.469923, 0.882707, 1, 0, 0, 0.01]
    - [-0.478727, 0.877964, 1, 0, 0, 0.01]
    - [-0.487482, 0.873133, 1, 0, 0, 0.01]
    - [-0.496189, 0.868215, 1, 0, 0, 0.01]
    - [-0.504846, 0.863209, 1, 0, 0, 0.01]
    - [-0.513453, 0.858118, 1, 0, 0, 0.01]
    - [-0.522008, 0.85294, 1, 0, 0, 0.01]
    - [-0.530511, 0.847678, 1, 0, 0, 0.01]
    - [-0.538961, 0.84233, 1, 0, 0, 0.01]
    - [-0.547358, 0.836899, 1, 0, 0, 0.01]
    - [-0.555699, 0.831383, 1, 0, 0, 0.01]
    - [-0.563985, 0.825785, 1, 0, 0, 0.01]
    - [-0.572215, 0.820104, 1, 0, 0, 0.01]
    - [-0.580387, 0.814341, 1, 0, 0, 0.01]
    - [-0.588501, 0.808496, 1, 0, 0, 0.01]
    - [-0.596557, 0.802571, 1, 0, 0, 0.01]
    - [-0.604552, 0.796565, 1, 0, 0, 0.01]
    - [-0.612488, 0.79048, 1, 0, 0, 0.01]
    - [-0.620362, 0.784316, 1, 0, 0, 0.01]
    - [-0.628174, 0.778073, 1, 0, 0, 0.01]
    - [-0.635923, 0.771753, 1, 0, 0, 0.01]
    - [-0.643608, 0.765355, 1, 0, 0, 0.01]
    - [-0.65123, 0.758881, 1, 0, 0, 0.01]
